step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
166,15180,332,0.030597367606300392,1.0,1.0,,,,,,,,,
167,15406,334,0.02064652420156173,0.5,0.5,,,,,,,,,
168,15472,336,0.033771904137611275,1.0,1.0,,,,,,,,,
169,15570,338,0.02871629302186193,0.5,0.5,0.036120337442480374,1.0,1.0,,,,,,
170,15668,340,0.026928805537754674,1.0,1.0,,,,,,,,,
171,15718,342,0.04395787661953363,0.5,0.5,,,,,,,,,
172,15800,344,0.047880794241209515,0.5,0.5,,,,,,,,,
173,15898,346,0.023349434533690025,1.0,1.0,,,,,,,,,
174,15948,348,0.04285197770349138,1.0,1.0,,,,,,,,,
175,16030,350,0.024813238382339477,1.0,1.0,,,,,,,,,
176,16064,352,0.04779688654612983,1.0,1.0,,,,,,,,,
177,16178,354,0.02744727186239158,1.0,1.0,0.030107177047058942,1.0,1.0,,,,,,
178,16260,356,0.03245476486769621,0.5,0.5,,,,,,,,,
179,16326,358,0.015785238089338238,1.0,1.0,,,,,,,,,
180,16392,360,0.03457397847341781,1.0,1.0,,,,,,,,,
181,16474,362,0.05472369642043486,0.5,0.5,,,,,,,,,
182,16588,364,0.04471356732920477,0.0,0.0,,,,,,,,,
183,16686,366,0.023694821760970323,1.0,1.0,,,,,,,,,
184,16784,368,0.024705471233804326,1.0,1.0,,,,,,,,,
185,16866,370,0.048663662429258694,0.0,0.0,0.03406340680812719,0.5,0.5,,,,,,
186,16948,372,0.05395030460653653,0.0,0.0,,,,,,,,,
187,17030,374,0.021496660114149562,1.0,1.0,,,,,,,,,
188,17096,376,0.027802356355750815,1.0,1.0,,,,,,,,,
189,17194,378,0.030957895969428745,1.0,1.0,,,,,,,,,
190,17244,380,0.04819965475054535,0.5,0.5,,,,,,,,,
191,17310,382,0.022463670927172642,1.0,1.0,,,,,,,,,
192,17360,384,0.06800881763270203,0.5,0.5,,,,,,,,,
193,17442,386,0.027806112206482797,1.0,1.0,0.01764638106128558,0.5,0.5,,,,,,
194,17508,388,0.07618973104763428,0.5,0.5,,,,,,,,,
195,17606,390,0.024196756324963643,1.0,1.0,,,,,,,,,
196,17688,392,0.03316445686601219,1.0,1.0,,,,,,,,,
197,17770,394,0.038057464592217004,0.5,0.5,,,,,,,,,
198,17836,396,0.03429118053078127,0.5,0.5,,,,,,,,,
199,17918,398,0.03623395150373108,1.0,1.0,,,,,,,,,
200,18000,400,0.01727048934350023,1.0,1.0,,,,,,,,,
201,18050,402,0.027684346153497852,1.0,1.0,0.03224194248975255,1.0,1.0,,,,,,
202,18132,404,0.06285152252731496,0.5,0.5,,,,,,,,,
203,18214,406,0.04930403335017036,0.5,0.5,,,,,,,,,
204,18296,408,0.03144151839571714,1.0,1.0,,,,,,,,,
205,18346,410,0.07238656380621251,0.0,0.0,,,,,,,,,
206,18428,412,0.05359003688898519,0.5,0.5,,,,,,,,,
207,18510,414,0.03441348191723227,0.5,0.5,,,,,,,,,
208,18608,416,0.025664442563283957,1.0,1.0,,,,,,,,,
209,18706,418,0.06372753360764667,0.0,0.0,0.06332506701515134,0.5,0.5,,,,,,
210,18756,420,0.04225522596786808,1.0,1.0,,,,,,,,,
211,18822,422,0.039231424657191385,1.0,1.0,,,,,,,,,
212,18872,424,0.04345837513363221,1.0,1.0,,,,,,,,,
213,18970,426,0.03673255555719758,1.0,1.0,,,,,,,,,
214,19036,428,0.03868724933791782,1.0,1.0,,,,,,,,,
215,19102,430,0.047697862957284086,0.5,0.5,,,,,,,,,
216,19184,432,0.03771741997127538,0.5,0.5,,,,,,,,,
217,19298,434,0.025701539205640854,1.0,1.0,0.016037233984679912,1.0,1.0,,,,,,
218,19380,436,0.04543873756789253,0.5,0.5,,,,,,,,,
219,19446,438,0.03546846051136527,1.0,1.0,,,,,,,,,
220,19560,440,0.03374061171086006,0.5,0.5,,,,,,,,,
221,19642,442,0.04075223651225679,0.5,0.5,,,,,,,,,
222,19724,444,0.04768252493348154,0.5,0.5,,,,,,,,,
223,19838,446,0.027224069997111137,1.0,1.0,,,,,,,,,
224,19936,448,0.04235134334989804,0.5,0.5,,,,,,,,,
225,20066,450,0.022326116135527627,0.5,0.5,0.04024358950409805,1.0,1.0,,,,,,
226,20148,452,0.030355115358310286,1.0,1.0,,,,,,,,,
227,20246,454,0.033133168687030166,1.0,1.0,,,,,,,,,
228,20312,456,0.03731100264034467,0.5,0.5,,,,,,,,,
229,20410,458,0.05805232048956289,0.0,0.0,,,,,,,,,
230,20476,460,0.03312604366270534,1.0,1.0,,,,,,,,,
231,20542,462,0.038985822645263395,0.5,0.5,,,,,,,,,
232,20640,464,0.026584368015658888,1.0,1.0,,,,,,,,,
233,20770,466,0.022786482770552542,1.0,1.0,0.045912720168475064,0.5,0.5,,,,,,
234,20868,468,0.02660936536660301,0.5,0.5,,,,,,,,,
235,20982,470,0.03679715639834675,1.0,1.0,,,,,,,,,
236,21048,472,0.032887641833222,0.5,0.5,,,,,,,,,
237,21146,474,0.030832180977643776,0.5,0.5,,,,,,,,,
238,21228,476,0.04321795320004458,0.5,0.5,,,,,,,,,
239,21278,478,0.06217936817498412,0.5,0.5,,,,,,,,,
240,21376,480,0.04386918804812012,0.0,0.0,,,,,,,,,
241,21490,482,0.02224329826043491,0.5,0.5,0.023406244051820978,1.0,1.0,,,,,,
242,21572,484,0.03919562018904253,1.0,1.0,,,,,,,,,
243,21670,486,0.021281790395538944,1.0,1.0,,,,,,,,,
244,21784,488,0.022906909654931435,1.0,1.0,,,,,,,,,
245,21866,490,0.03203392692627677,0.5,0.5,,,,,,,,,
246,21948,492,0.02297270409532939,1.0,1.0,,,,,,,,,
247,22030,494,0.02237211717502214,1.0,1.0,,,,,,,,,
248,22144,496,0.021756618894869465,1.0,1.0,,,,,,,,,
249,22258,498,0.043072941335579214,0.5,0.5,0.062066626054933294,0.5,0.5,,,,,,
250,22324,500,0.08161132360446573,0.5,0.5,,,,,,,,,
251,22454,502,0.018947451817839463,1.0,1.0,,,,,,,,,
252,22536,504,0.04680974386370508,0.0,0.0,,,,,,,,,
253,22618,506,0.03948122431518277,0.5,0.5,,,,,,,,,
254,22684,508,0.10557913227639801,0.5,0.5,,,,,,,,,
255,22718,510,0.0378212959470693,1.0,1.0,,,,,,,,,
256,23024,512,0.018496760716845626,1.0,1.0,,,,,,,,,
257,23106,514,0.03845844976519584,0.5,0.5,0.04005473964425618,0.5,0.5,,,,,,
258,23220,516,0.027362065511271273,1.0,1.0,,,,,,,,,
259,23318,518,0.022717958844089784,1.0,1.0,,,,,,,,,
260,23384,520,0.02051902596236687,1.0,1.0,,,,,,,,,
261,23498,522,0.03121803662810375,1.0,1.0,,,,,,,,,
262,23628,524,0.03931556172211571,0.5,0.5,,,,,,,,,
263,23678,526,0.0394423925016478,1.0,1.0,,,,,,,,,
264,23744,528,0.077425944211908,0.0,0.0,,,,,,,,,
265,23826,530,0.03612574435715214,1.0,1.0,0.029246901616832473,1.0,1.0,,,,,,
266,23876,532,0.02822841680007211,1.0,1.0,,,,,,,,,
267,23942,534,0.052510848651545525,0.5,0.5,,,,,,,,,
268,24008,536,0.040051666102845045,1.0,1.0,,,,,,,,,
269,24266,538,0.029602388714638436,0.5,0.5,,,,,,,,,
270,24332,540,0.060439172255228185,0.5,0.5,,,,,,,,,
271,24430,542,0.02787916684547478,1.0,1.0,,,,,,,,,
272,24480,544,0.027261861050598482,1.0,1.0,,,,,,,,,
273,24562,546,0.023006750015236322,1.0,1.0,0.03917923159897327,1.0,1.0,,,,,,
274,24676,548,0.04138656548193207,1.0,1.0,,,,,,,,,
275,24726,550,0.0644097188016167,0.5,0.5,,,,,,,,,
276,24856,552,0.022570603511485387,1.0,1.0,,,,,,,,,
277,24922,554,0.054159952624431754,0.5,0.5,,,,,,,,,
278,24956,556,0.14053459348389877,0.0,0.0,,,,,,,,,
279,25038,558,0.05559932334267069,0.5,0.5,,,,,,,,,
280,25152,560,0.028249079105101244,1.0,1.0,,,,,,,,,
281,25234,562,0.045267203648565554,1.0,1.0,0.03625069976830855,0.5,0.5,,,,,,
282,25300,564,0.02886499008131068,1.0,1.0,,,,,,,,,
283,25350,566,0.03522906532176421,1.0,1.0,,,,,,,,,
284,25400,568,0.046644627205872286,1.0,1.0,,,,,,,,,
285,25482,570,0.028130003756465155,1.0,1.0,,,,,,,,,
286,25548,572,0.06163221331997193,0.5,0.5,,,,,,,,,
287,25662,574,0.05348024275448552,0.0,0.0,,,,,,,,,
288,25744,576,0.05382508343734661,0.5,0.5,,,,,,,,,
289,25810,578,0.03582657275033853,0.5,0.5,0.026344526416926077,1.0,1.0,,,,,,
290,25892,580,0.02223972946259891,1.0,1.0,,,,,,,,,
291,25974,582,0.04317694089977885,0.5,0.5,,,,,,,,,
292,26088,584,0.033717914102453506,0.0,0.0,,,,,,,,,
293,26154,586,0.03493876106316748,1.0,1.0,,,,,,,,,
294,26236,588,0.03523284435483219,1.0,1.0,,,,,,,,,
295,26318,590,0.030413536196836503,1.0,1.0,,,,,,,,,
296,26416,592,0.02792040377645511,1.0,1.0,,,,,,,,,
297,26546,594,0.032247397524024564,0.5,0.5,0.027146991302579408,0.5,0.5,,,,,,
298,26660,596,0.03079919207575066,1.0,1.0,,,,,,,,,
299,26838,598,0.02477869350834887,0.5,0.5,,,,,,,,,
300,26904,600,0.04368369519515909,0.5,0.5,,,,,,,,,
301,27002,602,0.02262138794584947,1.0,1.0,,,,,,,,,
302,27068,604,0.03318636238216641,1.0,1.0,,,,,,,,,
303,27214,606,0.03260892631526884,1.0,1.0,,,,,,,,,
304,27504,608,0.02420244701414049,0.5,0.5,,,,,,,,,
305,27618,610,0.02969380641206434,1.0,1.0,0.04650892989424756,0.5,0.5,,,,,,
306,27748,612,0.02812296047799464,0.5,0.5,,,,,,,,,
307,27942,614,0.02177108130158255,0.5,0.5,,,,,,,,,
308,28168,616,0.025789427988139716,0.5,0.5,,,,,,,,,
309,28266,618,0.023853291826336925,1.0,1.0,,,,,,,,,
310,28316,620,0.026779671209272538,1.0,1.0,,,,,,,,,
311,28382,622,0.06735598187347931,0.5,0.5,,,,,,,,,
312,28448,624,0.04706727287261629,0.5,0.5,,,,,,,,,
313,28514,626,0.026560786722129706,0.5,0.5,0.027006030985200297,1.0,1.0,,,,,,
314,28612,628,0.03023089139537963,1.0,1.0,,,,,,,,,
315,28678,630,0.02885061337512525,1.0,1.0,,,,,,,,,
316,28776,632,0.029585025005255828,1.0,1.0,,,,,,,,,
317,28858,634,0.02533882860877202,1.0,1.0,,,,,,,,,
318,28924,636,0.0720995476513417,0.0,0.0,,,,,,,,,
319,28974,638,0.09139160820326653,0.5,0.5,,,,,,,,,
320,29040,640,0.02566663163171142,1.0,1.0,,,,,,,,,
321,29106,642,0.024343928718590178,1.0,1.0,0.028018872505493467,1.0,1.0,,,,,,
322,29236,644,0.03099090692475329,1.0,1.0,,,,,,,,,
323,29318,646,0.0496258222557426,0.5,0.5,,,,,,,,,
324,29432,648,0.0426107517921212,0.5,0.5,,,,,,,,,
325,29514,650,0.020651179123971818,1.0,1.0,,,,,,,,,
326,29596,652,0.03643884458526918,1.0,1.0,,,,,,,,,
327,29662,654,0.04581344914825934,1.0,1.0,,,,,,,,,
328,29744,656,0.06734050128868693,0.0,0.0,,,,,,,,,
329,29794,658,0.034737110886562735,1.0,1.0,0.04502188132857554,1.0,1.0,,,,,,
330,29892,660,0.02242342751285226,1.0,1.0,,,,,,,,,
331,29958,662,0.040264121311433886,0.5,0.5,,,,,,,,,
332,30024,664,0.054641232021813264,0.5,0.5,,,,,,,,,
333,30106,666,0.031167465443228137,1.0,1.0,,,,,,,,,
334,30252,668,0.020406619793227745,1.0,1.0,,,,,,,,,
335,30318,670,0.03236865256243618,1.0,1.0,,,,,,,,,
336,30432,672,0.038064046968918,0.5,0.5,,,,,,,,,
337,30514,674,0.03772661269360106,0.5,0.5,0.039024503047374315,1.0,1.0,,,,,,
338,30596,676,0.03747760538724833,1.0,1.0,,,,,,,,,
339,30662,678,0.024524826094275337,1.0,1.0,,,,,,,,,
